fac_id,surveyed,stratum,fpc_fac,fpc_abs,wgt_abs,wgt_know_b,wgt_know_c,wgt_know_d,wgt_know_e,wgt_know_f,wgt_know_g,wgt_know_h,fpc_know_b,fpc_know_c,fpc_know_d,fpc_know_e,fpc_know_f,fpc_know_g,fpc_know_h,fpc_15,fpc_67,wgt_fac
53,1,2,0.23880596,1.0,135.25298,67.62649,67.62649,67.62649,67.62649,67.62649,22.542162,22.542162,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.75,16.906622
54,1,5,0.7307692,0.4,76.63158,3.744,3.744,3.744,3.744,3.744,3.1200001,3.1200001,0.36549708,0.36549708,0.36549708,0.36549708,0.36549708,0.4385965,0.4385965,0.36549708,0.4385965,1.3684211
55,1,2,0.23880596,1.0,135.25298,16.906622,16.906622,16.906622,16.906622,16.906622,16.906622,16.906622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.906622
56,1,2,0.23880596,1.0,47.65552,19.062208,19.062208,19.062208,19.062208,19.062208,9.531104,9.531104,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,9.531104
58,1,2,0.23880596,1.0,14.845328,14.845328,14.845328,14.845328,14.845328,14.845328,14.845328,14.845328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.845328
59,1,2,0.23880596,1.0,50.719864,33.813244,33.813244,33.813244,33.813244,33.813244,33.813244,33.813244,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,16.906622
60,1,1,0.21064301,1.0,16.547836,4.9643507,4.9643507,4.9643507,4.9643507,4.9643507,3.3095672,3.3095672,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1.0,1.0,0.6666667,1.0,3.3095672
61,1,1,0.21064301,1.0,25.600117,12.800058,12.800058,12.800058,12.800058,12.800058,6.400029,6.400029,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,6.400029
62,1,1,0.21064301,1.0,7.8266387,7.8266387,7.8266387,7.8266387,7.8266387,7.8266387,3.9133193,3.9133193,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,3.9133193
63,1,3,0.36619717,0.6666667,160.23819,31.157425,31.157425,31.157425,31.157425,31.157425,20.771616,20.771616,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.42857143,0.2857143,0.42857143,8.902122
64,1,3,0.36619717,1.0,37.287083,8.286018,8.286018,8.286018,8.286018,8.286018,4.143009,4.143009,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,4.143009
65,1,4,0.32,1.0,167.53722,76.15328,76.15328,76.15328,76.15328,76.15328,38.07664,38.07664,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.4,15.230657
66,1,4,0.32,1.0,151.06836,25.17806,25.17806,25.17806,25.17806,25.17806,25.17806,25.17806,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,16.785374
67,1,5,0.7307692,0.4,67.052635,5.7692633,5.7692633,5.7692633,5.7692633,5.7692633,4.120902,4.120902,0.23719165,0.23719165,0.23719165,0.23719165,0.23719165,0.33206832,0.33206832,0.23719165,0.33206832,1.3684211
68,1,4,0.32,1.0,22.997429,4.3804626,4.3804626,4.3804626,4.3804626,4.3804626,4.3804626,4.3804626,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,3.285347
71,1,5,0.7307692,0.4,65.68421,6.4042106,6.4042106,6.4042106,6.4042106,6.4042106,3.8425264,3.8425264,0.21367522,0.21367522,0.21367522,0.21367522,0.21367522,0.35612535,0.35612535,0.21367522,0.35612535,1.3684211
73,1,5,0.7307692,0.6,35.57895,3.4210527,3.4210527,3.4210527,3.4210527,3.4210527,2.2807016,2.2807016,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.6,1.3684211
74,1,4,0.32,0.4,173.56837,25.481316,25.481316,25.481316,25.481316,25.481316,20.385052,20.385052,0.14492753,0.14492753,0.14492753,0.14492753,0.14492753,0.18115942,0.18115942,0.14492753,0.18115942,3.692944
75,1,4,0.32,1.0,44.31533,3.692944,3.692944,3.692944,3.692944,3.692944,3.692944,3.692944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.692944
78,1,4,0.32,0.4,139.57104,23.433243,23.433243,23.433243,23.433243,23.433243,11.716621,11.716621,0.15673982,0.15673982,0.15673982,0.15673982,0.15673982,0.31347963,0.31347963,0.15673982,0.31347963,3.6729221
80,1,4,0.32,0.6666667,139.16977,9.036998,9.036998,9.036998,9.036998,9.036998,7.0287766,7.0287766,0.7,0.7,0.7,0.7,0.7,0.9,0.9,0.7,0.9,6.3258986
